id,type,lat,lon,data
663656894,Walkable Bridge,54.529139,-1.3502808,"{""bicycle"": ""dismount"", ""bridge"": ""yes"", ""highway"": ""footway"", ""incline"": ""down"", ""layer"": ""1"", ""lit"": ""yes"", ""surface"": ""asphalt"", ""wheelchair"": ""yes""}"
324251607,Walkable Bridge,51.7286682,-0.8771751,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""highway"": ""footway""}"
30240388,Walkable Bridge,50.7541059,-3.520836,"{""bridge"": ""yes"", ""highway"": ""path"", ""layer"": ""1"", ""surface"": ""dirt""}"
976665070,Walkable Bridge,53.5134179,-2.9082963,"{""bicycle"": ""designated"", ""bridge"": ""yes"", ""cycleway"": ""sidewalk"", ""foot"": ""designated"", ""highway"": ""cycleway"", ""layer"": ""1"", ""segregated"": ""no"", ""surface"": ""asphalt"", ""width"": ""3""}"
875741413,Walkable Bridge,51.5972875,-0.2551937,"{""bridge"": ""yes"", ""foot"": ""yes"", ""highway"": ""cycleway"", ""segregated"": ""no"", ""surface"": ""asphalt"", ""width"": ""0.3 m""}"
360946828,Walkable Bridge,51.5370612,0.0208008,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""lit"": ""no"", ""surface"": ""paving_stones""}"
262080412,Walkable Bridge,51.5481454,-0.2549473,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}"
914009297,Walkable Bridge,51.7956094,-3.1844026,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""wheelchair"": ""yes""}"
281536874,Walkable Bridge,51.1041519,0.2942061,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}"
421837646,Walkable Bridge,50.6572706,-2.0940426,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""prow_ref"": ""SE5/4"", ""source"": ""GPS+GLONASS"", ""source:prow_ref"": ""dorset_council_prow_gis_data"", ""surface"": ""wood""}"
238318005,Walkable Bridge,53.6007503,-2.5606002,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway"", ""lit"": ""no"", ""prow_ref"": ""Anderton FP 12"", ""surface"": ""ground""}"
377727269,Walkable Bridge,51.3663039,-2.342639,"{""bridge"": ""yes"", ""foot"": ""customers"", ""highway"": ""footway"", ""layer"": ""1""}"
672126777,Walkable Bridge,57.9187799,-6.6807656,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""surface"": ""wood""}"
159183906,Walkable Bridge,50.7449042,-2.694108,"{""bridge"": ""yes"", ""foot"": ""designated"", ""highway"": ""path"", ""layer"": ""1"", ""surface"": ""dirt""}"
469210668,Walkable Bridge,53.3362039,-1.9547968,"{""bridge"": ""yes"", ""foot"": ""yes"", ""highway"": ""path"", ""layer"": ""1"", ""source"": ""os_opendata_streetview""}"
1173616641,Walkable Bridge,57.1821605,-4.5247475,"{""access"": ""yes"", ""bicycle"": ""yes"", ""bridge"": ""yes"", ""highway"": ""path"", ""layer"": ""1"", ""name"": ""South Loch Ness Trail"", ""short_name"": ""SLN"", ""surface"": ""grass""}"
1317114086,Walkable Bridge,51.5058918,-3.1752147,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""surface"": ""asphalt""}"
449105306,Walkable Bridge,54.4579319,-0.9947851,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}"
1198901735,Walkable Bridge,51.8652146,-3.2285039,"{""bridge"": ""yes"", ""heritage"": ""yes"", ""highway"": ""path"", ""layer"": ""1"", ""wikidata"": ""Q29497701""}"
1512055775,Walkable Bridge,53.4082394,-2.7793221,"{""bridge"": ""yes"", ""golf"": ""cartpath"", ""golf_cart"": ""yes"", ""highway"": ""path"", ""layer"": ""1""}"
700427896,Walkable Bridge,55.0719939,-4.1384313,"{""bridge"": ""yes"", ""highway"": ""path"", ""layer"": ""1""}"
94443686,Walkable Bridge,52.7231387,-2.1145397,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}"
159931469,Walkable Bridge,53.0561115,-1.651826,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""yes"", ""highway"": ""footway"", ""source"": ""survey""}"
931020526,Walkable Bridge,55.0477465,-1.6615358,"{""bicycle"": ""permissive"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""surface"": ""unpaved""}"
